id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
51923604,43529778,Frankie,College Area,32.77025,-117.04637,Private room,31,4,48,2,313,31
6.68E+17,58524002,Colin,Southcrest,32.69189,-117.11386,Private room,103,1,1,2,180,1
48587104,6327742,Lien,University City,32.85644,-117.2282,Entire home/apt,210,60,4,2,326,2
21384519,154891159,Cathy,La Jolla,32.83074,-117.26433,Private room,129,2,207,2,4,16
5.96E+17,49122966,Pat,Paradise Hills,32.6801,-117.05762,Entire home/apt,218,3,16,1,149,16
31711573,10526839,Tabita,La Jolla,32.83983,-117.25542,Private room,128,2,205,3,158,50
24034884,181197650,Andrea,College Area,32.7743,-117.05128,Private room,70,2,33,1,69,12
5.48E+17,224859198,Sonder (San Diego),La Jolla,32.83059,-117.27326,Entire home/apt,238,2,103,21,96,7
6.30E+17,49376536,Stephanie,College Area,32.767361,-117.082809,Private room,80,2,14,1,159,14
24160526,151301611,Matt & Stacey,Bay Park,32.78061,-117.20091,Entire home/apt,251,3,14,2,32,3
26085241,75995321,Nikolai,Valencia Park,32.69863,-117.0779,Entire home/apt,82,3,63,4,61,20
6.71E+17,274601836,Arnold,Loma Portal,32.74940025,-117.209265,Entire home/apt,204,2,9,5,180,9
32170620,241305301,Paul,Rolando,32.76149,-117.05906,Private room,75,1,102,1,83,21
28465831,7965802,Patricia,Encanto,32.72466,-117.06153,Entire home/apt,57,1,237,2,153,46
7877393,34959478,Cathy,Mountain View,32.69535,-117.10144,Private room,73,1,400,29,275,7
8.16E+17,410163954,Titan Beach Rentals,La Jolla,32.832781,-117.2745464,Entire home/apt,345,3,0,4,91,0
5.59E+17,126644161,Evolve,Moreno Mission,32.77264,-117.20004,Entire home/apt,429,3,15,83,328,12
53012161,390706460,Jay,Sky Line,32.70519,-117.05287,Entire home/apt,224,2,21,15,94,8
7.15E+17,476865621,Brad,La Jolla,32.84774,-117.27536,Entire home/apt,219,28,0,1,178,0
7.49E+17,424786264,Dazhanae,Oak Park,32.73718421,-117.0580518,Entire home/apt,105,5,0,1,175,0
2593335,11131047,Brita,La Jolla,32.82803,-117.26566,Private room,151,3,133,2,231,16
6.00E+17,34879272,Excelsior Stays,Linda Vista,32.78719,-117.17243,Entire home/apt,479,1,1,4,4,1
6.76E+17,470779410,Christian,Paradise Hills,32.67632,-117.06236,Entire home/apt,140,1,16,1,75,16
12156108,38481847,Hermann,La Jolla,32.8433,-117.26916,Private room,99,1,123,3,1,0
918743,4934787,Kr,College Area,32.76313,-117.0798,Private room,60,31,111,1,140,3
48964396,136309377,Eddie,Bay Park,32.79964,-117.2089,Entire home/apt,242,5,31,1,79,26
38697626,178676200,Analia,Clairemont Mesa,32.81602,-117.16101,Private room,74,2,179,2,26,62
