id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1510363,7303214,Charlesie And Tedd,Outer Mission,37.72817,-122.45077,Entire home/apt,160,3,353,1,115,34
865873,253059,Marie,Mission,37.76076,-122.4241,Entire home/apt,290,30,36,3,122,0
1159284,5548292,Shaun,North Beach,37.80521,-122.40579,Entire home/apt,295,30,6,1,363,1
1511076,2403646,Gary,Castro/Upper Market,37.76137,-122.42661,Private room,142,2,454,1,90,54
867499,4346130,Shannon,Western Addition,37.77119,-122.42461,Private room,199,2,27,2,0,0
867555,4562696,Charles & Ren�,Mission,37.76845,-122.41869,Entire home/apt,499,7,31,2,13,1
1520929,8055897,Annekarin,Potrero Hill,37.75991,-122.4048,Entire home/apt,250,2,265,1,333,45
1525137,7390100,Dion,Pacific Heights,37.78792,-122.44379,Entire home/apt,180,30,211,1,265,4
1160508,2801755,Debolina,Ocean View,37.72084293,-122.4542891,Entire home/apt,168,2,9,1,354,0
870532,4587849,Rob,Castro/Upper Market,37.76467,-122.43571,Entire home/apt,140,30,134,1,62,2
1163946,1918239,Jen,Mission,37.76111,-122.42082,Entire home/apt,70,30,2,1,0,0
1525886,8141679,Delilah,Bernal Heights,37.74794,-122.41629,Private room,146,1,143,1,306,0
878935,4645827,Ashley,Inner Sunset,37.76354,-122.4673,Entire home/apt,150,30,234,1,36,3
1531273,104075,Jeanne,Western Addition,37.77156,-122.43365,Entire home/apt,235,30,104,1,179,0
1178260,6446722,John,North Beach,37.80069,-122.40586,Entire home/apt,160,30,120,1,291,4
884770,4687340,Sandra,Russian Hill,37.80492,-122.41994,Private room,120,3,258,2,288,20
1195173,6531356,Jennifer,Nob Hill,37.79104,-122.41551,Private room,95,30,26,1,193,2
890875,4374318,Jolie,Western Addition,37.77128,-122.43393,Entire home/apt,269,2,10,2,8,1
1537497,3977854,Michael,South of Market,37.77329,-122.42053,Entire home/apt,130,30,51,6,346,6
1547477,3977854,Michael,Western Addition,37.77965,-122.42432,Entire home/apt,80,30,50,6,325,6
891728,4737757,Joshua,Castro/Upper Market,37.75879,-122.42922,Entire home/apt,500,30,1,1,293,0
1550913,497158,Seth And Alexa,Mission,37.75141,-122.4198,Entire home/apt,153,5,220,1,42,17
1198464,5565510,Lulu,West of Twin Peaks,37.73386,-122.4638,Private room,46,5,118,5,344,1
895381,1257432,San Francisco Life Real Estate,Downtown/Civic Center,37.7774,-122.42003,Entire home/apt,114,30,12,28,365,2
1200068,6555530,Phyllis,Outer Mission,37.73411,-122.44805,Private room,55,30,20,3,336,1
1579304,8401865,Amy,Bernal Heights,37.73828,-122.41274,Entire home/apt,465,4,8,1,0,1
900393,4808354,Irene,Potrero Hill,37.7577,-122.39958,Entire home/apt,295,30,94,1,279,0
1584021,339788,Brett,Mission,37.76559,-122.42126,Entire home/apt,450,30,129,1,0,0
1589228,8478388,Claire,Noe Valley,37.74442,-122.42525,Entire home/apt,350,30,10,1,0,0
1201159,6561127,Omid,South of Market,37.78242,-122.39963,Entire home/apt,80,30,44,1,240,3
905399,4843181,Nancy,Mission,37.75007,-122.41837,Private room,80,5,175,3,23,7
1212513,1237762,Myles,Castro/Upper Market,37.76067,-122.4389,Private room,350,2,7,2,178,1
1589283,3532224,Andrew,South of Market,37.77944,-122.40333,Entire home/apt,109,30,12,1,99,0
1598872,8523981,Teresa,Western Addition,37.77162,-122.43124,Entire home/apt,235,5,39,1,0,2
918341,145258,Kepa,Potrero Hill,37.76553,-122.39614,Entire home/apt,290,1,562,2,328,52
1606292,3977854,Michael,Western Addition,37.77743,-122.42502,Entire home/apt,120,30,61,6,340,6
931313,38836,Bernat,Mission,37.77025,-122.42193,Entire home/apt,87,30,41,22,277,1
1212822,1700823,Jennifer,Marina,37.80494,-122.44457,Entire home/apt,310,30,42,2,4,2
1614453,6346492,Dana,Downtown/Civic Center,37.78908,-122.40915,Private room,189,2,55,29,0,0
1620039,6346492,Dana,Downtown/Civic Center,37.78896,-122.4104,Private room,193,1,69,29,0,0
934012,5037105,David,Inner Richmond,37.77596,-122.46187,Entire home/apt,100,30,80,1,267,6
1229606,5215262,John,South of Market,37.77658,-122.40887,Entire home/apt,100,31,104,2,334,0
937842,2488180,Amadis And Martha,Mission,37.76044846,-122.4099579,Entire home/apt,250,1,198,1,0,5
1623609,8633891,Ingrid,Mission,37.76023,-122.40916,Private room,125,3,292,1,57,42
1624068,6346492,Dana,Downtown/Civic Center,37.78899,-122.40954,Private room,189,2,48,29,0,0
943851,736969,Daria,Mission,37.75742,-122.40616,Entire home/apt,130,30,7,1,0,0
1245838,6789170,Nicole,Bernal Heights,37.73483,-122.41838,Entire home/apt,411,3,44,1,68,5
945748,5124146,Toni,Presidio Heights,37.78421,-122.45896,Entire home/apt,232,2,189,1,332,33
1265074,6887723,Mariel,Inner Sunset,37.75135,-122.47282,Entire home/apt,215,30,5,1,309,3
1627455,7066914,Paul,Downtown/Civic Center,37.78878,-122.41176,Private room,129,30,38,1,365,0
948066,2880747,Scott,Potrero Hill,37.76285,-122.40185,Entire home/apt,221,30,52,1,296,2
950094,5153588,Gaylene,Bayview,37.73457,-122.39348,Private room,56,30,51,3,249,2
1629740,6346492,Dana,Downtown/Civic Center,37.78888,-122.41072,Private room,192,1,55,29,0,0
1267206,6081814,Nancy,Glen Park,37.74184,-122.42423,Private room,74,3,82,2,241,11
1273394,4836128,Vivian,Presidio Heights,37.78754,-122.45868,Private room,500,30,0,2,365,0
1276953,799436,David,Western Addition,37.77055,-122.4314,Entire home/apt,296,4,53,1,10,6
